;tamanho_arranjo;rodada;min;max;chave;presente;metodo;comparacoes;tempo;posicao;cenario
71;100000;17;159;9999537;6375447.0;False;Sequencial;100000.0;0.023084837999704177;;Aleatório
72;100000;17;159;9999537;6375447.0;False;Por saltos;518.0;0.00016009699993446702;;Aleatório
73;100000;17;159;9999537;6375447.0;False;Binária;17.0;2.4130000383593142e-05;;Aleatório
74;100000;18;159;9999537;7599649.0;True;Sequencial;75933.0;0.018453858999691874;75932.0;Aleatório
75;100000;18;159;9999537;7599649.0;True;Por saltos;333.0;0.00014768100027140463;75932.0;Aleatório
76;100000;18;159;9999537;7599649.0;True;Binária;14.0;1.5146999885473633e-05;75932.0;Aleatório
77;100000;19;159;9999537;9866223.0;False;Sequencial;100000.0;0.02564595100011502;;Aleatório
78;100000;19;159;9999537;9866223.0;False;Por saltos;629.0;0.00021517200002563186;;Aleatório
79;100000;19;159;9999537;9866223.0;False;Binária;17.0;1.5822000023035798e-05;;Aleatório
80;100000;20;159;9999537;2639282.0;True;Sequencial;26581.0;0.007928292000087822;26580.0;Aleatório
81;100000;20;159;9999537;2639282.0;True;Por saltos;121.0;6.31879997854412e-05;26580.0;Aleatório
82;100000;20;159;9999537;2639282.0;True;Binária;16.0;1.1594000170589425e-05;26580.0;Aleatório
83;100000;21;159;9999537;1515064.0;True;Sequencial;15152.0;0.005198697999730939;15151.0;Aleatório
84;100000;21;159;9999537;1515064.0;True;Por saltos;347.0;6.80099997225625e-05;15151.0;Aleatório
85;100000;21;159;9999537;1515064.0;True;Binária;16.0;1.1432999599492177e-05;15151.0;Aleatório
86;100000;22;159;9999537;2166561.0;True;Sequencial;21738.0;0.006704465999973763;21737.0;Aleatório
87;100000;22;159;9999537;2166561.0;True;Por saltos;318.0;7.343300012507825e-05;21737.0;Aleatório
88;100000;22;159;9999537;2166561.0;True;Binária;16.0;1.0674999884940917e-05;21737.0;Aleatório
89;100000;23;159;9999537;9657628.0;True;Sequencial;96578.0;0.026983525999639824;96577.0;Aleatório
90;100000;23;159;9999537;9657628.0;True;Por saltos;503.0;0.00022173100023792358;96577.0;Aleatório
91;100000;23;159;9999537;9657628.0;True;Binária;17.0;2.2572000034415396e-05;96577.0;Aleatório
92;100000;24;159;9999537;4896050.0;True;Sequencial;48891.0;0.01723124500040285;48890.0;Aleatório
93;100000;24;159;9999537;4896050.0;True;Por saltos;381.0;0.00011636299996098387;48890.0;Aleatório
94;100000;24;159;9999537;4896050.0;True;Binária;16.0;1.5712999811512418e-05;48890.0;Aleatório
95;100000;25;159;9999537;5668655.0;True;Sequencial;56588.0;0.014569079000011698;56587.0;Aleatório
96;100000;25;159;9999537;5668655.0;True;Por saltos;203.0;0.00010780100001284154;56587.0;Aleatório
97;100000;25;159;9999537;5668655.0;True;Binária;17.0;1.5862000054767122e-05;56587.0;Aleatório
98;100000;26;159;9999537;4577636.0;True;Sequencial;45750.0;0.011980986999788001;45749.0;Aleatório
99;100000;26;159;9999537;4577636.0;True;Por saltos;390.0;0.0001237470000887697;45749.0;Aleatório
100;100000;26;159;9999537;4577636.0;True;Binária;11.0;1.2058999800501624e-05;45749.0;Aleatório
101;100000;27;159;9999537;6105278.0;True;Sequencial;60847.0;0.015581251999719825;60846.0;Aleatório
102;100000;27;159;9999537;6105278.0;True;Por saltos;367.0;0.00013582899964603712;60846.0;Aleatório
103;100000;27;159;9999537;6105278.0;True;Binária;17.0;2.2791999981564004e-05;60846.0;Aleatório
104;100000;28;159;9999537;9552176.0;False;Sequencial;100000.0;0.023794775000169466;;Aleatório
105;100000;28;159;9999537;9552176.0;False;Por saltos;619.0;0.0002079709997815371;;Aleatório
106;100000;28;159;9999537;9552176.0;False;Binária;17.0;1.4981000276748091e-05;;Aleatório
